Term,Meaning_of_term,Dialect type,Meaning_question,correct_answer
بتل,بَتِل ، اِبْتِل ، بَاتِل اي الاستمرار في ما انت عليه، او ما تفعله.,General,"المهمة: حدد المعنى الصحيح لكلمة 'بتل'.
السؤال: ما هو المعنى المقصود من كلمة 'بتل'؟
الخيارات:
أ) الاستمرار في العمل
ب) الانقطاع عن العمل
ج) التحول إلى شيء آخر
د) الشعور بالملل",أ
بتلت,"""استمريت"" او "" دائم"" تقال كا لفعل تفعله دائم ومستمر",Southern,"المهمة: حدد المعنى الصحيح لكلمة 'بتلت'.
السؤال: ما هو المعنى الصحيح لكلمة 'بتلت'؟
الخيارات:
أ) توقفت
ب) استمريت
ج) ذهبت
د) هجرت",ب
بُتُوغَازْ,الفرن.,Western,"المهمة: تحديد المعنى الصحيح لكلمة 'بُتُوغَازْ'.
السؤال: ما هو المعنى الصحيح لكلمة 'بُتُوغَازْ'؟
الخيارات:
أ) الفرن
ب) السيارة
ج) الحديقة
د) الكتاب",أ
بتيرس,أي بطاطس ، ويستخدمها قدامى الأحساء,General,"المهمة: حدد معنى كلمة 'بتيرس'
السؤال: ما هو المعنى الصحيح لكلمة 'بتيرس'؟
الخيارات:
أ) نوع من الأطعمة البحرية
ب) أي بطاطس ، ويستخدمها قدامى الأحساء
ج) فاكهة مشهورة في الجزيرة العربية
د) نوع من الحلويات",ب
بحّزْ,كلمة (بحّز) تعني ابعد او اعطيني مجال لاجلس بقربك او اجلس مكانك او لأمر بجانبك .,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'بحّز'.
السؤال: ماذا تعني كلمة 'بحّز'؟
الخيارات:
أ) اجلس بعيداً
ب) أعطيني مجال
ج) اذهب إلى المنزل
د) تناول الطعام",ب
بحل,تورط بشيء او شخص,Central,"المهمة: وضح معنى الكلمة ""بحل"".
السؤال: ما معنى كلمة 'بحل'؟
الخيارات:
أ) التورط بشيء أو شخص
ب) الانفصال عن شيء
ج) النجاح في أمر ما
د) الفشل في التزام",أ
بخشة,حديقة المنزل او احياناَ أي حديقة,Western,"المهمة: اختر المعنى الصحيح لكلمة 'بخشة'.
السؤال: ما هو المعنى الصحيح لكلمة 'بخشة'?
الخيارات:
أ) حديقة المنزل
ب) بيت كبير
ج) مكان للتسوق
د) مكان للاجتماع",أ
بَخّه,بَخْ ، بَخَّه ، يبُخ ، يبخبخ. البَخَّة : هي الرَّشَّة الواحدة بالرذاذ,General,"المهمة: اختر المعنى الصحيح لكلمة 'بَخّه'.
السؤال: ما معنى 'بَخّه'?
الخيارات:
أ) طعنة
ب) رشَّة
ج) قفز
د) تناول طعام",ب
بدروم,هي كلمة انجليزية تعني غرفة النوم ولكنها تستخدم في معظم المناطق السعودية بمعنى القبو,Southern,"المهمة: اختر المعنى الصحيح لكلمة 'بدروم'.
السؤال: ما المعنى الصحيح لكلمة 'بدروم' في اللهجة السعودية؟
الخيارات:
أ) غرفة النوم
ب) قبو
ج) حديقة
د) صالة",ب
بدري عليك,تستخدم ذي الكلمة اذا كشفت شخص يسوي شي سري كشفتك = بدري عليك,General,"المهمة: حدد المعنى الصحيح للاستخدام العام للعبارة.
السؤال: ماذا تعني عبارة 'بدري عليك' في اللهجة السعودية؟
الخيارات:
أ) تشير إلى الكشف عن شيء سري.
ب) تعني انزعاج من شخص.
ج) تستخدم لتعبر عن الإعجاب.
د) تعني تقديم الاعتذار.",أ
براطم,وتعني الشفايف الكبيرة,General,"المهمة: حدد المعنى الصحيح لكلمة 'براطم'.
السؤال: ما هو المعنى الصحيح لكلمة 'براطم'؟
الخيارات:
أ) الأنف الكبير
ب) الشفايف الكبيرة
ج) العين الكبيرة
د) الأذنين الكبيرتين",ب
بربتوز,هو لبس متصل للأطفال .,Western,"المهمة: اختر المعنى الصحيح لكلمة 'بربتوز'.
السؤال: ما هو معنى كلمة 'بربتوز'؟
الخيارات:
أ) هو لعبة أطفال.
ب) هو لبس متصل للأطفال.
ج) هو نوع من الحلويات.
د) هو اسم مكان.",ب
بربر,لعبة قديمة في المنطقة الغربية من المملكة العربية السعودية تتمثل في رسم مربعات على الارض بالطباشير او بالفحم,Western,"المهمة: حدد المعنى الصحيح لكلمة 'بربر'.
السؤال: ما معنى 'بربر' في اللهجة الحجازية؟
الخيارات:
أ) لعبة قديمة في المنطقة الغربية من المملكة
ب) نوع من الطعام التقليدي
ج) اسم مدينة في السعودية
د) نوع من الأقمشة",أ
بربسة,يقصد بهذه الكلمة العمل الغير مرتّب و غير المنظم و كذلك قد يقصد بها تخريب الأمور,Central,"المهمة: اختر المعنى الصحيح لكلمة 'بربسة'.
السؤال: ما هو المعنى الصحيح لكلمة 'بربسة' في اللهجة السعودية؟
الخيارات:
أ) عمل مرتب ومنظم
ب) عمل غير مرتب وغير منظم
ج) عمل ناجح
د) عمل يتطلب الكثير من الجهد",ب
بُرتُقان,مرادف للبرتقال. في العادة تنطق بالكاف هكذا: بُرْتُكان.,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'بُرتُقان'.
السؤال: ما هو معنى كلمة 'بُرتُقان'؟
الخيارات:
أ) نوع من الفاكهة
ب) نوع من الأقمشة
ج) نوع من الأطعمة
د) نوع من الحيوانات",أ
برتكانة,في جدة يقولون برتقانة بمعنى برتقالة وفي مكة برتكانة,Western,"المهمة: حدد المعنى الصحيح لكلمة 'برتكانة'.
السؤال: ما هو المعنى الصحيح لكلمة 'برتكانة' في اللهجة الحجازية؟
الخيارات:
أ) تفاح
ب) ليمون
ج) برتقالة
د) مشمش",ج
برحة,البرحة هي الأرض القاحلة الجرداء التي لا حياة فيها وهو وصف يطلقه عموم سكان المملكة على منطقة نجد,Southern,"المهمة: حدد معنى كلمة 'برحة'.
السؤال: ما هو معنى كلمة 'برحة'?
الخيارات:
أ) مكان خصب
ب) الأرض القاحلة
ج) منطقة جبلية
د) منطقة سكنية",ب
بردقان,بردقان هو اسم لفاكهه وهي :البرتقال,Central,"المهمة: حدد المعنى الصحيح لكلمة 'بردقان'.
السؤال: ما هو المعنى الصحيح لكلمة 'بردقان'؟
الخيارات:
أ) التفاح
ب) البرتقال
ج) الموز
د) الخوخ",ب
بِرزة,جلسة في الهواء الطلق مع توافر عدة الشوي والشاي إلخ.,Southern,"المهمة: اختر المعنى الصحيح لكلمة 'بِرزة'.
السؤال: ما هو المعنى الصحيح لكلمة 'بِرزة'؟
الخيارات:
أ) مكان مخصص للأكل
ب) جلسة في الهواء الطلق مع توافر عدة الشوي والشاي
ج) نوع من الألعاب الشعبية
د) وصف لأسلوب اللباس",ب
برشام,البرشام هو الورق الصغير الذي كتب عليه معلومات لكي تكتبها بالاختبار. والبرشام عموما هو اي مواد ممنوعه سواء أكان معلومات مكتوبة او مخدرات او اسلحة الخ .,General,"المهمة: حدد المعنى الصحيح لكلمة 'برشام'.
السؤال: ما هو تعريف 'برشام'؟
الخيارات:
أ) ورق صغير مكتوب عليه معلومات للاختبار
ب) نوع من الأطعمة الشعبية
ج) طريقة لدراسة المنهج
د) علامة من علامات النجاح",أ
بَرْشُومِي,ثمرة التين الشوكي، وعادة ما يطلق هذا المسمى في منطقة الحجاز إلا أنه مشهور في العديد من مناطق المملكة. يتميز البرشومي بتوسط طعمه بين الحلاوة والحموضة بالإضافة إلى لبه المليء بالحبوب الصلبة.,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'برشومي'.
السؤال: ما هو المعنى الصحيح لكلمة 'برشومي'؟
الخيارات:
أ) ثمرة الكاجو
ب) ثمرة التين الشوكي
ج) نوع من العنب
د) فاكهة استوائية",ب
برصي,"""برصي"" وجمعها ""براصي"" هو لقب يطلقه بعض اهل نجد على الوزغ او الوزغة",Northern,"المهمة: حدد المعنى الصحيح لكلمة 'برصي'.
السؤال: ماذا تعني كلمة 'برصي'؟
الخيارات:
أ) نوع من الطيور
ب) لقب يُطلق على الوزغ
ج) نوع من النباتات
د) حيوان ثديي",ب
برطم,"المقصود بها شفتي الإنسان, و خصوصاً ان كان حجميهما أكبر من المعتاد.",General,"المهمة: حدد المعنى الصحيح لكلمة 'برطم'.
السؤال: ما هو المعنى الصحيح لكلمة 'برطم'؟
الخيارات:
أ) تعني الأذنين
ب) تعني شفتي الإنسان
ج) تعني الأنف
د) تعني العينين",ب
برطمان,البرطمان: حافظة طعام بلاستيكية تحفظ فيها الفواكه والخضروات. مثل التمر والرطب.,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'برطمان'.
السؤال: ما معنى كلمة 'برطمان'؟
الخيارات:
أ) وعاء زجاجي لحفظ السوائل.
ب) حافظة طعام بلاستيكية تحفظ فيها الفواكه والخضروات.
ج) نوع من الحلويات.
د) وعاء خشبي تقليدي.",ب
برماوي,"بَرْماوي اسم يُطلق على المسلمين القادمين من دولة بورما وعاشوا في السعودية ولان تعلّم اللغة العربية صعبًا على بورميين اصبح كل من يتكلم بلغة عربية مكسرة برماوي يقال عنهم ""صفر تسعطعش"" ايضاً",General,"المهمة: حدد معنى كلمة برماوي.
السؤال: ما هو المعنى الصحيح لكلمة برماوي؟
الخيارات:
أ) شخص من دولة بورما يعيش في السعودية
ب) شخص يتحدث العربية بطلاقة
ج) شخص من دولة ماليزيا
د) شخص يعيش في أوروبا",أ
بريعصي,الوزغ,Central,"المهمة: اختر المعنى الصحيح لكلمة 'بريعصي'.
السؤال: ما معنى كلمة 'بريعصي'?
الخيارات:
أ) تمساح
ب) وزغ
ج) ثعبان
د) طائر",ب
بزر,الطفل وجمعها بزران باللهجة النجدية، وبزورة بالحجازية.,Central,"المهمة: حدد المعنى الصحيح لكلمة 'بزر'.
السؤال: ما هو المعنى الصحيح لكلمة 'بزر'؟
الخيارات:
أ) الطفل
ب) الفتاة
ج) الكلب
د) القطة",أ
بزران,جمع بزر ويعني اطفال/طفل. وتطلق على جمع المذكر والمؤنث.,Central,"المهمة: اختر المعنى الصحيح لكلمة 'بزران'.
السؤال: ما هو المعنى الصحيح لكلمة 'بزران'؟
الخيارات:
أ) طيور صغيرة
ب) أطفال
ج) ملابس جديدة
د) أصدقاء",ب
اتلحلح,أتحرّك أو قوم,Western,"المهمة: حدد المعنى الصحيح للكلمة 'اتلحلح'.
السؤال: ماذا تعني كلمة اتلحلح في اللهجة السعودية؟
الخيارات:
أ) اجلس في مكانك
ب) أتحرّك أو قوم
ج) ابتسم أو اضحك
د) استرح قليلاً",ب
